#               DENSITY,             VELOCITY-X,             VELOCITY-Y,               PRESSURE,            TEMPERATURE,              VISCOSITY
 1.0001721501906879e+00  0.0000000000000000e+00  0.0000000000000000e+00  9.9994793176396601e-01  9.9977582016587951e-01  2.9575299106550112e-08
 9.9876920724990792e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9855211512239528e-01  9.9978264034780351e-01  2.9575454265308835e-08
 9.9735323224801775e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9714270785600956e-01  9.9978891692010330e-01  2.9575597056523740e-08
 9.9592082273301252e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9571640965188579e-01  9.9979474966637860e-01  2.9575729750362406e-08
 9.9446592643725584e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9426722060196426e-01  9.9980018839257456e-01  2.9575853479981797e-08
 9.9298166077149641e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9278833487809892e-01  9.9980530768992559e-01  2.9575969942378023e-08
 9.9146013981888625e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9127193834287808e-01  9.9981017746609324e-01  2.9576080727976854e-08
 9.8989442173513120e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8971120653879952e-01  9.9981491440671988e-01  2.9576188491364527e-08
 9.8827762609087366e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8809928553780446e-01  9.9981954407510520e-01  2.9576293814114134e-08
 9.8660773688866754e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8643428289976509e-01  9.9982419153791624e-01  2.9576399541439746e-08
 9.8488422654446750e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8471564953512369e-01  9.9982883571002557e-01  2.9576505193664702e-08
 9.8311412004587673e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8295052376716607e-01  9.9983359380627879e-01  2.9576613437350242e-08
 9.8130652320037615e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8114802986869021e-01  9.9983848743696435e-01  2.9576724764097019e-08
 9.7947928182286548e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.7932628565889679e-01  9.9984379846842319e-01  2.9576845586125469e-08
 9.7765227732421622e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.7750541077369069e-01  9.9984977629170224e-01  2.9576981576799888e-08
 9.7585295451318388e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.7571275763339804e-01  9.9985633401104423e-01  2.9577130759188453e-08
 9.7410779292367433e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.7397492619238002e-01  9.9986360161343613e-01  2.9577296090240219e-08
 9.7244810199087417e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.7232331468034894e-01  9.9987167715143921e-01  2.9577479800373778e-08
 9.7089931717591227e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.7078376852787263e-01  9.9988098802214065e-01  2.9577691612151710e-08
 9.6948761696305330e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.6938267147633495e-01  9.9989175159653210e-01  2.9577936470099330e-08
 9.6823391340386178e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.6814088716401103e-01  9.9990392172948839e-01  2.9578213323961945e-08
 9.6715637548497335e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.6707609094004765e-01  9.9991698907543758e-01  2.9578510586365965e-08
 9.6626967966465316e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.6620254124054428e-01  9.9993051792318277e-01  2.9578818345247524e-08
 9.6558795080125659e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.6553410717433108e-01  9.9994423747015426e-01  2.9579130440151084e-08
 9.6512245814103348e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.6508201915493452e-01  9.9995809963206472e-01  2.9579445777170169e-08
