#              NORMAL-X,               NORMAL-Y,                   AREA
-2.4821758724977161e-03 -1.7335974217192768e-02  1.7512772456729466e-02
-2.6077788927322057e-03 -1.5404879235978053e-02  1.5624046051789766e-02
-2.6885149747680540e-03 -1.3613602705516106e-02  1.3876537442502994e-02
-2.7305359214716551e-03 -1.1967817586103574e-02  1.2275360857942102e-02
-2.7399883763276206e-03 -1.0467948750747358e-02  1.0820604759008789e-02
-2.7226349508803205e-03 -9.1103970740228635e-03  9.5085264853246032e-03
-2.6835968339712288e-03 -7.8886632793462863e-03  8.3326286550047882e-03
-2.6271978147261107e-03 -6.7943190685105653e-03  7.2845686188289785e-03
-2.5568854909105779e-03 -5.8178238649878589e-03  6.3548987354364109e-03
-2.4752129829910680e-03 -4.9491907919389927e-03  5.5336397430788041e-03
-2.3838376256743836e-03 -4.1786183164962479e-03  4.8107725845791980e-03
-2.2836372558840377e-03 -3.4968482691243516e-03  4.1764754199850804e-03
-2.1748508553333171e-03 -2.8956119702911974e-03  3.6214009617049768e-03
-2.0572643789230106e-03 -2.3679489741189790e-03  3.1368007697041593e-03
-1.9307506618003994e-03 -1.9082137874654225e-03  2.7146045709671627e-03
-1.7956924527534803e-03 -1.5119712989854293e-03  2.3474600302947645e-03
-1.6534021424727142e-03 -1.1755580092453395e-03  2.0287127144655616e-03
-1.5063184973631415e-03 -8.9534839760842862e-04  1.7523253603707084e-03
-1.3578598250046786e-03 -6.6712057475122643e-04  1.5128890129874509e-03
-1.2119496274957241e-03 -4.8571686565611273e-04  1.3056579847608725e-03
 3.1607314180294860e-03  2.9674309345296468e-02  2.9842165776251362e-02
 3.0284377176072463e-03  2.7444015073781913e-02  2.7610603006442924e-02
 2.8682222362789722e-03  2.5182109896965565e-02  2.5344927651495402e-02
 2.6882901802214934e-03  2.2939977438908965e-02  2.3096958002964969e-02
 2.4960301189164251e-03  2.0760017516003648e-02  2.0909531166894112e-02
 2.2978755884998682e-03  1.8675267991582922e-02  1.8816106578611453e-02
 2.0992388686976258e-03  1.6709741226912045e-02  1.6841088316917496e-02
 1.9045041141475746e-03  1.4879261397185983e-02  1.5000651840723257e-02
 1.7170687664165452e-03  1.3192598039989512e-02  1.3303870421547946e-02
 1.5394221835532147e-03  1.1652723319190983e-02  1.1753968751567832e-02
 0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
 0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
 0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
 0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
 0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
 0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
 0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
 0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
 0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
 0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
 0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
 0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
 0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
 0.0000000000000000e+00  6.9261263270448271e-310  0.0000000000000000e+00
 6.9261442188037420e-310  0.0000000000000000e+00  0.0000000000000000e+00
 6.9261359134803944e-310  6.9261439882007757e-310  0.0000000000000000e+00
 6.9261359134882994e-310  6.9261439880655993e-310  0.0000000000000000e+00
 6.9261263280309821e-310  0.0000000000000000e+00  0.0000000000000000e+00
 6.9261263393063507e-310  6.9261439882648066e-310  0.0000000000000000e+00
 6.9261263393162320e-310  6.9261263393150462e-310  0.0000000000000000e+00
 0.0000000000000000e+00  1.3522576726674918e-320  0.0000000000000000e+00
 6.9261506690350940e-310  6.9261506690350940e-310  0.0000000000000000e+00
 0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
